entry_key,type,id,name,source_path,review_status,normalized_review_status,source_level,risk_class,summary,checklist.clinical_or_psychological_accuracy,checklist.safety_boundary_ok,checklist.non_diagnostic_wording_ok,checklist.no_treatment_or_effect_promise,checklist.escalation_or_help_seeking_ok,checklist.privacy_or_sensitive_data_ok,checklist.localization_needed,review_decision,reviewer,reviewed_at,reviewer_notes,required_changes
"issue_type:academic_stress","issue_type","academic_stress","学业 / 考试压力","server/knowledge/issue_types/academic_stress.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","由考试、论文、成绩、升学或学业比较带来的现实负荷和预期压力。 Key dimensions: 截止时间与现实任务; 失败预期; 学习功能与作息; 支持和资源 Escalation signals: 因压力无法维持基本生活; 因成绩表达自伤或自杀意图","","","","","","","","","","","",""
"issue_type:anxiety","issue_type","anxiety","焦虑 / 担心 / 紧张","server/knowledge/issue_types/anxiety.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","围绕现实或预期威胁的持续担心、警觉和身体紧张，不直接等同于焦虑障碍。 Key dimensions: 担心对象与现实依据; 频率和可控性; 身体反应; 睡眠专注与回避 Escalation signals: 长时间完全无法睡眠; 明显失控或无法保证安全","","","","","","","","","","","",""
"issue_type:family_pressure","issue_type","family_pressure","家庭压力","server/knowledge/issue_types/family_pressure.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","家庭期待、冲突、经济依赖、照护责任或控制带来的压力和边界困难。 Key dimensions: 压力来源; 现实依赖与选择空间; 责任和边界; 暴力威胁与安全 Escalation signals: 家暴、威胁或限制人身自由; 照护压力已使基本生活无法维持","","","","","","","","","","","",""
"issue_type:grief_loss","issue_type","grief_loss","丧失 / 哀伤","server/knowledge/issue_types/grief_loss.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","因死亡、关系结束、失去工作或住所等重要丧失出现的悲伤、麻木、愤怒、内疚或生活失衡，不直接等同于心理障碍。 Key dimensions: 丧失事件和发生时间; 当前主要情绪与变化节奏; 睡眠、饮食和日常功能; 现实支持与安全状态 Escalation signals: 出现自伤、自杀或不想活的想法; 长期无法恢复基本生活; 现实暴力或即时人身危险","","","","","","","","","","","",""
"issue_type:interpersonal","issue_type","interpersonal","人际关系困扰","server/knowledge/issue_types/interpersonal.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","朋友、同学、同事或室友关系中的冲突、排斥、误解、边界和表达困难。 Key dimensions: 具体互动事实; 对他人意图的解释; 自己的需要与表达; 权力和安全风险 Escalation signals: 持续欺凌、跟踪或威胁; 现实人身安全风险","","","","","","","","","","","",""
"issue_type:loneliness","issue_type","loneliness","孤独 / 空虚 / 意义感下降","server/knowledge/issue_types/loneliness.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","缺少连接、归属或意义感的主观体验，可与社交减少、关系变化、低能量和消极想法并存。 Key dimensions: 连接缺失的类型; 近期关系或生活变化; 现有支持; 消极生存意愿与安全 Escalation signals: 活着没有意义或想消失; 明确自伤、自杀想法或计划","","","","","","","","","","","",""
"issue_type:low_energy","issue_type","low_energy","低能量 / 提不起劲","server/knowledge/issue_types/low_energy.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","持续感到精力不足、启动困难或兴趣下降；需同时留意作息、身体状况、现实负荷和安全风险。 Key dimensions: 持续时间与频率; 睡眠食欲和身体状态; 学习工作与基本生活影响; 近期压力或疾病 Escalation signals: 无法维持进食饮水或基本生活; 强烈绝望、自伤或自杀想法","","","","","","","","","","","",""
"issue_type:procrastination","issue_type","procrastination","拖延 / 行动困难","server/knowledge/issue_types/procrastination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","明知任务重要却难以启动或持续，常与压力、回避、完美标准、低能量或注意力负荷有关。 Key dimensions: 具体任务与时间压力; 开始前的想法和感受; 回避后的短期结果; 精力与执行环境 Escalation signals: 基本生活长期无法启动; 伴随强烈绝望或自伤想法","","","","","","","","","","","",""
"issue_type:romantic_relationship","issue_type","romantic_relationship","亲密关系困扰","server/knowledge/issue_types/romantic_relationship.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","恋爱、伴侣或婚姻关系中的不确定、冲突、分离、信任与边界问题。 Key dimensions: 具体互动模式; 需要与期待; 沟通和边界; 控制暴力或性安全 Escalation signals: 控制、跟踪、威胁、家暴或性暴力; 分离后出现自伤或伤人意图","","","","","","","","","","","",""
"issue_type:rumination","issue_type","rumination","反刍 / 停不下来的想法","server/knowledge/issue_types/rumination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","同一事件、问题或自我评价被反复回放，却没有形成新信息或可执行下一步。 Key dimensions: 反复内容; 触发时段; 是否产生新信息; 睡眠专注与情绪影响 Escalation signals: 连续严重失眠; 反复内容包含自伤、自杀或伤人计划","","","","","","","","","","","",""
"issue_type:self_blame","issue_type","self_blame","自责 / 自我否定","server/knowledge/issue_types/self_blame.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","把具体失误、困难或责任扩大为对整个人的否定，可能伴随羞耻、回避和反复回想。 Key dimensions: 触发事件; 事实与整体自我评价; 可控责任边界; 对行动和安全的影响 Escalation signals: 强烈绝望; 自我惩罚、自伤或自杀想法","","","","","","","","","","","",""
"issue_type:sleep_disturbance","issue_type","sleep_disturbance","睡眠困扰","server/knowledge/issue_types/sleep_disturbance.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","入睡、维持睡眠、早醒或作息紊乱，并与情绪、压力、身体状况及白天功能相互影响。 Key dimensions: 睡眠模式与持续时间; 白天功能; 作息和刺激物; 情绪身体变化 Escalation signals: 多日几乎不睡且异常兴奋或失控; 困倦已影响驾驶或操作安全","","","","","","","","","","","",""
"issue_type:work_stress","issue_type","work_stress","工作 / 实习压力","server/knowledge/issue_types/work_stress.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","由工作量、绩效、角色变化、人际、实习适应或不确定性带来的持续压力。 Key dimensions: 负荷和可控性; 角色期待; 工作功能与身体反应; 现实权益或安全 Escalation signals: 职场暴力或明确威胁; 无法保证自身安全或维持基本生活","","","","","","","","","","","",""
"mechanism:all_or_nothing_thinking","mechanism","all_or_nothing_thinking","全或无思维","server/knowledge/mechanisms/all_or_nothing_thinking.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","当标准只剩完美或失败，中间已经完成、可调整的部分会被忽略，开始和复盘都会更困难。 Use when: 结果只被分为成功或失败; 局部失误被扩大为全部否定 Do not use when: 情境确实有明确二元安全边界; 用户尚未表现极端化评价","","","","","","","","","","","",""
"mechanism:attachment_insecurity","mechanism","attachment_insecurity","依恋不安全感","server/knowledge/mechanisms/attachment_insecurity.json","pending_clinical_review","unreviewed","L4_conceptual","ordinary_psychoeducation","关系里的不确定可能把警觉迅速拉高，让人更想确认或先退开；这是一种暂时理解，不是给人贴固定类型标签。 Use when: 关系不确定触发强烈被抛下担忧; 用户反复确认或回避亲密并描述重复模式 Do not use when: 仅凭一次关系冲突; 存在欺骗、控制或暴力等明确现实风险","","","","","","","","","","","",""
"mechanism:avoidance_loop","mechanism","avoidance_loop","回避循环","server/knowledge/mechanisms/avoidance_loop.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","担心让人先躲开，躲开会短暂轻松；事情仍在后，压力和自责又上升，下一次更难靠近。 Use when: 接近任务或冲突会紧张并转而回避; 回避短暂减压但随后压力增加 Do not use when: 退出情境是为了躲避暴力或现实危险; 主要障碍是资源缺失或身体疾病","","","","","","","","","","","",""
"mechanism:behavioral_activation","mechanism","behavioral_activation","行为激活","server/knowledge/mechanisms/behavioral_activation.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","低能量会让活动减少，生活里的节奏、反馈和掌控感也随之变少；有时可先做很小一步，再观察能量变化。 Use when: 低能量伴随活动减少和反馈减少; 基本安全和生活尚可，适合极低门槛行动 Do not use when: 用户正在耗竭且首先需要休息或医疗评估; 用户有即刻危险或无法维持基本生活","","","","","","","","","","","",""
"mechanism:catastrophizing","mechanism","catastrophizing","灾难化思维","server/knowledge/mechanisms/catastrophizing.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","压力会把最坏可能推到眼前，像它已经确定发生；可以同时检查发生概率和即使发生时可用的应对资源。 Use when: 用户直接跳到最坏结果; 低概率后果被体验为必然且难以应对 Do not use when: 危险现实且需要立即行动; 用户描述的是已有严重后果","","","","","","","","","","","",""
"mechanism:cognitive_appraisal","mechanism","cognitive_appraisal","认知评价","server/knowledge/mechanisms/cognitive_appraisal.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","事件本身和我们对它的解释会一起影响感受；区分二者不是否定感受，而是看清哪些已确认、哪些仍是推测。 Use when: 同一事实被赋予强烈威胁或自我否定含义; 用户把推测当成已确认事实 Do not use when: 威胁已有充分现实证据; 用户只需要被倾听且尚未表达自己的解释","","","","","","","","","","","",""
"mechanism:emotional_suppression","mechanism","emotional_suppression","情绪压抑","server/knowledge/mechanisms/emotional_suppression.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","暂时压住情绪能帮助应付当下，但长期没有命名和出口，紧绷可能以麻木、身体不适或突然爆发出现。 Use when: 用户长期不允许自己感受或表达; 压下情绪后出现累积紧绷、麻木或爆发 Do not use when: 暂不表达是为了现实安全; 用户已经充分表达且主要问题在现实资源","","","","","","","","","","","",""
"mechanism:over_responsibility","mechanism","over_responsibility","过度责任感","server/knowledge/mechanisms/over_responsibility.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","责任感能推动行动，但把他人的选择和所有结果都算到自己身上，会让责任边界无限扩大。 Use when: 用户承担超出可控范围的结果; 休息或拒绝被解释为自私和失职 Do not use when: 需要先承认并处理明确伤害责任; 安全照护职责正在被忽略","","","","","","","","","","","",""
"mechanism:people_pleasing_boundaries","mechanism","people_pleasing_boundaries","讨好与边界","server/knowledge/mechanisms/people_pleasing_boundaries.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","优先不让别人失望能暂时维持平静，但自己的需要长期没有位置，容易累积成疲惫、委屈或爆发。 Use when: 为避免冲突长期压下需要; 答应后疲惫委屈却仍不敢表达 Do not use when: 拒绝可能引发暴力或现实报复; 用户正在策略性配合以保障安全","","","","","","","","","","","",""
"mechanism:perfectionism_procrastination","mechanism","perfectionism_procrastination","完美主义与拖延","server/knowledge/mechanisms/perfectionism_procrastination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","当开始就意味着必须做好，第一步会变得很重；回避后时间变少，又更难达到标准，形成拖延和自责。 Use when: 高标准让开始成本过高; 害怕不完美导致回避并进一步赶工自责 Do not use when: 任务确有严格安全质量标准; 行动困难主要来自低能量、资源或身体限制","","","","","","","","","","","",""
"mechanism:rumination","mechanism","rumination","反刍思维","server/knowledge/mechanisms/rumination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","脑子不断回放，像是在努力找答案；当它不再产生新信息时，重复会让人再次经历难受，而不是解决问题。 Use when: 过去事件或担心被反复回放; 思考没有新信息却持续放大情绪 Do not use when: 用户正在进行有明确新信息的现实规划; 当前需要紧急决策或安全行动","","","","","","","","","","","",""
"mechanism:self_blame_loop","mechanism","self_blame_loop","自责循环","server/knowledge/mechanisms/self_blame_loop.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","具体失误被解释成‘我这个人不行’，会消耗行动需要的力气；事情更难推进后，又像在证明原来的评价。 Use when: 一次结果被扩大为整个人不行; 自责导致僵住回避并制造更多困难 Do not use when: 用户正在讨论需要承担的具体责任且未自我贬低; 需要优先处理安全或现实补救","","","","","","","","","","","",""
"mechanism:sleep_emotion_loop","mechanism","sleep_emotion_loop","睡眠-情绪循环","server/knowledge/mechanisms/sleep_emotion_loop.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","压力会影响睡眠，睡眠不足又会降低情绪和注意力的缓冲；越担心必须马上睡着，身体可能越警觉。 Use when: 睡眠变化与压力情绪互相影响; 担心睡不着本身增加睡前警觉 Do not use when: 多日几乎不睡并异常兴奋; 呼吸暂停、剧痛等可能需要医疗评估","","","","","","","","","","","",""
"mechanism:social_comparison_self_worth","mechanism","social_comparison_self_worth","比较与自我价值","server/knowledge/mechanisms/social_comparison_self_worth.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","比较能提供参照，但只看到他人的结果、再拿它评价自己的全部价值，会忽略背景、过程和不同目标。 Use when: 他人进展被用作整体自我价值证据; 比较引发退缩、羞耻或过度证明 Do not use when: 用户正在讨论客观资源不平等; 比较用于具体技能校准而非自我否定","","","","","","","","","","","",""
"mechanism:somatic_stress_response","mechanism","somatic_stress_response","身体化压力反应","server/knowledge/mechanisms/somatic_stress_response.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","压力可能通过心跳、呼吸、肌肉和消化表现出来，但相似症状也可能有身体原因，需要保留医学判断空间。 Use when: 身体反应与压力情境同步出现; 用户在高负荷下持续紧绷 Do not use when: 出现急性胸痛、呼吸困难、昏厥等医疗警讯; 身体原因尚未排查却准备下心理结论","","","","","","","","","","","",""
"mechanism:stress_response","mechanism","stress_response","压力反应","server/knowledge/mechanisms/stress_response.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","压力持续时，身体可能一直处于准备应对的状态；睡眠、专注、烦躁和紧绷会彼此推高。 Use when: 持续负荷后出现警觉、睡眠或专注变化; 状态与考试、工作、冲突或重大变化相关 Do not use when: 症状可能需要急诊或身体检查; 用心理解释会遮蔽暴力、过劳等现实问题","","","","","","","","","","","",""
"intervention:boundary_sentence","intervention","boundary_sentence","边界表达句式","server/knowledge/interventions/boundary_sentence.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","可以试着说：‘当___发生时，我会___；接下来我希望___。’先从风险较低的一件小事开始。 Suitable for: 低风险关系中的请求或越界; 用户希望表达限制而非控制对方 Not suitable for: 表达可能引发暴力、报复或失去基本资源; 当前存在明显权力或人身安全风险","","","","","","","","","","","",""
"intervention:emotion_labeling","intervention","emotion_labeling","情绪命名","server/knowledge/interventions/emotion_labeling.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","先不用把原因讲清楚；如果选一两个词，现在更接近紧张、委屈、生气、难过，还是麻木？ Suitable for: 情绪混在一起难以描述; 长期压住感受或身体紧绷 Not suitable for: 命名会明显加剧失控; 当前需要先处理医疗或人身安全","","","","","","","","","","","",""
"intervention:fact_vs_interpretation","intervention","fact_vs_interpretation","事实-解释区分","server/knowledge/interventions/fact_vs_interpretation.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","如果你愿意，我们可以只分两行写：已经确认的事实是什么，你脑子里最强的解释是什么。 Suitable for: 把推测当成事实; 灾难化、自责或关系不确定 Not suitable for: 存在明确即时危险; 用户需要先被倾听而非练习","","","","","","","","","","","",""
"intervention:grounding_breath","intervention","grounding_breath","呼吸/落地稳定","server/knowledge/interventions/grounding_breath.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","如果呼吸练习不会让你更不舒服，可以先感受脚下支撑，保持自然吸气，把呼气稍微放慢一分钟。 Suitable for: 短时紧张或身体警觉; 需要先把注意力带回当下 Not suitable for: 呼吸练习会引发不适或惊恐; 存在急性胸痛、严重呼吸困难或医疗紧急情况","","","","","","","","","","","",""
"intervention:help_seeking_script","intervention","help_seeking_script","求助表达句式","server/knowledge/interventions/help_seeking_script.json","pending_clinical_review","unreviewed","L2_safety_informed","safety_informed","可以只发一句：‘我这两天状态不太好，现在不需要你解决问题，能不能今晚陪我通话十分钟？’ Suitable for: 用户有可信任对象但难以开口; 需要提出具体陪伴或实际协助 Not suitable for: 对象可能施暴、报复或泄露隐私; 即时危险中不应只发信息等待","","","","","","","","","","","",""
"intervention:relationship_clarification","intervention","relationship_clarification","关系澄清","server/knowledge/interventions/relationship_clarification.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","可以把‘你是不是不在乎我’换成：‘这两天没收到回复，我有些不安，想确认你现在是否方便联系。’ Suitable for: 关系不确定且双方存在安全沟通空间; 用户想核实事实和表达需要 Not suitable for: 控制、跟踪、威胁或暴力关系; 对方明确要求停止联系","","","","","","","","","","","",""
"intervention:sleep_wind_down","intervention","sleep_wind_down","睡前卸载","server/knowledge/interventions/sleep_wind_down.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","睡前可以用五分钟把待办和担心写下来，并标明明天什么时候处理；目的不是强迫入睡，而是暂时停止继续规划。 Suitable for: 睡前待办和担忧反复出现; 希望尝试低刺激收尾流程 Not suitable for: 多日几乎不睡且异常兴奋; 呼吸暂停、剧痛或其他需医疗评估的表现","","","","","","","","","","","",""
"intervention:small_step_activation","intervention","small_step_activation","小步行为激活","server/knowledge/interventions/small_step_activation.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","如果你想试一个很小的动作，可以只把文件打开并写一个标题，五分钟后就允许停。 Suitable for: 低能量或回避导致启动困难; 能尝试两到十分钟的小动作 Not suitable for: 明显耗竭需要休息或医疗评估; 无法维持基本生活或有即时危险","","","","","","","","","","","",""
"intervention:thought_record_light","intervention","thought_record_light","轻量想法记录","server/knowledge/interventions/thought_record_light.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","可以只记三行：发生了什么、脑子立刻说了什么、情绪0到10有多强。 Suitable for: 重复想法和情绪之间关系较清楚; 用户愿意做简短书写 Not suitable for: 书写会加剧创伤重现或失控; 当前有即时危险","","","","","","","","","","","",""
"intervention:worry_time_limit","intervention","worry_time_limit","担忧限时","server/knowledge/interventions/worry_time_limit.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","可以把它记成一句话，约定今天一个十分钟时段再看；这不是压住想法，而是暂时把注意力还给眼前。 Suitable for: 重复担忧没有新信息; 担忧挤占睡眠或当前活动 Not suitable for: 问题需要立即实际处理; 担忧涉及即时安全风险","","","","","","","","","","","",""
"safety_level:level_0","safety_level","level_0","无明显风险","server/knowledge/safety/risk_levels.json#level_0","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","routine_safety_boundary","继续普通觉察对话，并对新出现的风险保持敏感。 Signals: 未出现消极生存意愿、自伤、自杀、伤人或即时失控信息 Escalation: 若出现更高等级信号，立即切换到对应安全回应。","","","","","","","","","","","",""
"safety_level:level_1","safety_level","level_1","消极表达但无明确自伤意图","server/knowledge/safety/risk_levels.json#level_1","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","self_harm_risk","承认痛苦，直接但克制地确认是否有自伤或自杀想法，并连接现实支持。 Signals: 表达活着没意思、想消失、没有意义，但未明确表示要自伤或自杀 Escalation: 若确认自伤/自杀想法，升级到 level_2；若出现计划或工具，升级到 level_3。","","","","","","","","","","","",""
"safety_level:level_2","safety_level","level_2","明确自伤/自杀想法但无计划","server/knowledge/safety/risk_levels.json#level_2","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","self_harm_risk","停止普通分析，确认计划和即时安全，推动可信任者与专业支持介入。 Signals: 明确说想死、不想活、自杀或自伤，但未提供方式、时间、地点或工具 Escalation: 有计划、工具或即刻危险时升级到 level_3；正在实施或无法安全则升级到 level_4。","","","","","","","","","","","",""
"safety_level:level_3","safety_level","level_3","有方式、时间、地点、工具或即刻危险","server/knowledge/safety/risk_levels.json#level_3","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","high_or_imminent_risk","立即降低接触危险物的机会，让现实中的人到场并联系紧急服务。 Signals: 提到具体方式、时间、地点、工具、遗书、告别或马上行动 Escalation: 立即联系当地紧急服务和可到场支持者；若行为已开始或无法保证安全，按 level_4。","","","","","","","","","","","",""
"safety_level:level_4","safety_level","level_4","正在实施或无法保证安全","server/knowledge/safety/risk_levels.json#level_4","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","high_or_imminent_risk","用最短指令促成紧急呼救、停止独处和现场救援。 Signals: 正在实施自伤、自杀或伤人行为，已经服用/使用危险物，或明确无法保证当前安全 Escalation: 立即联系紧急服务；中国大陆可拨打 110 或 120，并让附近的人到场。","","","","","","","","","","","",""
"safety_response_templates:crisis_response","safety_response_templates","crisis_response","Crisis response templates","server/knowledge/safety/crisis_response.json#crisis_response","pending_clinical_and_legal_review","unreviewed","L1_product_safety_rule","safety_critical_review","安全回应优先于普通 prompt。模板需按检测等级选择，不得与普通机制分析或微干预拼接。 Template levels: level_0, level_1, level_2, level_3, level_4","","","","","","","","","","","",""
